Ranking,Smasher,Previous rank,Movement,Character
1,  ZeRo,1,0,   
2,  MKLeo,8,▲ 6,   
3,  Nairo,3,0,   
4,  Dabuz,4,0,  
5,  Ally,2,▼ 3, 
6,  Larry Lurr,5,▼ 1,  
7,  CaptainZack,20,▲ 13,   
8,  komorikiri,12,▲ 4,   
9,  Mr.R,10,▲ 1,  
10,  Abadango,7,▼ 3,   
11,  Salem,13,▲ 2,  
12,  Tweek,17,▲ 5,   
13,  VoiD,6,▼ 7,  
14,  Marss,15,▲ 1,  
15,  Fatality,28,▲ 13,  
16,  KEN,19,▲ 3, 
17,  Ranai,14,▼ 3,  
18,  ESAM,27,▲ 9,   
19,  Kirihara,48,▲ 29, 
20,  Zinoto,16,▼ 4, 
21,  ANTi,9,▼ 12,   
22,  Locus,45,▲ 23, 
23,  9B,—,—, 
24,  Samsora,29,▲ 5,  
25,  Elegant,—,—,   
26,  Tsu-,—,—,  
27,  Kameme,11,▼ 16,   
28,  falln,33,▲ 5,  
29,  MVD,47,▲ 18,   
30,  Mr.E,18,▼ 12,   
31,  6WX,30,▼ 1, 
32,  T,—,—, 
33,  Shuton,—,—, 
34,  Raito,—,—, 
35,  Earth,25,▼ 10,  
36,  HIKARU,—,—,  
37,  Ned,50,▲ 13, 
38,  Rich Brown,23,▼ 15,  
39,  Myran,—,—, 
40,  Manny,—,—,  
41,  ScAtt,31,▼ 10,  
42,  NAKAT,—,—,   
43,  Nietono,36,▼ 7,  
44,  Javi,—,—,  
45,  AC,—,—,  
46,  WaDi,21,▼ 25,  
47,  Edge,—,—,  
48,  JK,—,—, 
49,  Choco,—,—, 
50,  FOW,—,—, 
