Civil War,4519,S
Genesis 4,4286,S
2GGC Nairo Saga,3349,S
CEO 2017,3249,S
Frostbite 2017,2313,A
2GGC: Greninja Saga,2193,A
CEO Dreamland,2113,A
2GGC Genesis Saga,1952,A
MomoCon 2017,1920,A
Smash'n'Splash 3,1696,A
DreamHack Austin 2017,1631,A
Frame Perfect Series 2,1543,A
2GGC Midwest Mayhem Saga,1541,A
Royal Flush,1453,A
Umebura Japan Major,1422,A
KTAR XX,969,B
Midwest Mayhem 8,967,B
Battle of BC 2,962,B
Midwest Mayhem 6,909,B
Smash Conference LXIX,845,B
Tokaigi 2017**,808,B
PAX Arena,746,B
SGC**,718,B
Beast 7,696,B
Umebura Tokaigi Qualifier**,677,B
KSB 2017**,654,B
Glitch 3,618,B
SALT,579,C
Sumabato 17**,557,C
Tampa Never Sleeps 7,544,C
Umebura 26**,542,C
Midwest Mayhem 7,538,C
Rise 2017,538,C
Battle Arena Melbourne 9,484,C
Kawaii Kon 2017,465,C
Combo Breaker 2017,461,C
Saints Gaming Live,459,C
The Arena 2017,452,C
Kumite in Tennessee,451,C
No Fun Allowed,448,C
EagleLAN,441,C
Austin's Really Feeling It 16,437,C
Sumabato 15**,406,C
NH Smash 3,404,C
Smash Valley,386,C
Sumabato 18,361,C
PPT Winter,356,C
GUMS 14,356,C
Karisuma Tokaigi Qualifier**,354,C
Tupelo Titans Throwdown,347,C
Sea Crest Smash,346,C
Port Priority,342,C
Welcome to the Oven,338,C
Choctaw Festival of Gaming**,336,C
Invasion 12**,336,C
FINAL ROUND 20,334,C
Sumabato 16**,333,C
Undiscovered Realm Comic Con,332,C
GUMS 13,327,C
King of the Springs 2,325,C
GUMS 15,322,C
Frosty Faustings IX,314,C
Shift,310,C
Karisuma 13**,309,C
Gwinnett Brawl February,307,C
Smash 4 at KI Con,306,C
ConComics May 2017,305,C
